product_name,price,url
Beige Lace Kora,Rp 499.000,/collections/women/products/beige-lace-kora
Pink Lace Arida,Rp 429.000,/collections/women/products/pink-lace-arida
Blue Tierra,Rp 379.000,/collections/women/products/blue-tierra
Navy Anvita,Rp 439.000,/collections/women/products/navy-anvita
Beige Lace Selina,Rp 429.000,/collections/women/products/beige-lace-selina
Navy Lace Selina,Rp 429.000,/collections/women/products/navy-lace-selina
Navy Midi Halliday,Rp 429.000,/collections/women/products/navy-midi-halliday
Dark Wash Denim Beata,Rp 299.000,/collections/women/products/dark-wash-denim-beata
Black Waves Perdomo,Rp 329.000,/collections/women/products/black-waves-perdomo
Off-white Striped Torchia,Rp 349.000,/collections/women/products/off-white-torchia
Dark Wash Denim Jagna,Rp 379.000,/collections/women/products/dark-wash-denim-jagna
Beige Dorthe,Rp 499.000,/collections/women/products/beige-dorthe
Black Batya,Rp 399.000,/collections/women/products/black-batya
Dark Wash Denim Aldona,Rp 379.000,/collections/women/products/dark-wash-denim-aldona
Black Waves Tobler,Rp 359.000,/collections/women/products/black-waves-tobler
Black Waves Pohle,Rp 359.000,/collections/women/products/black-waves-pohle
Black Lundby,Rp 359.000,/collections/women/products/black-lundby
Black Monochrome Gemmell,Rp 399.000,/collections/women/products/black-monochrome-gemmell
Blue Striped Verlin,Rp 279.000,/collections/women/products/blue-striped-verlin
Blue Striped Taplin,Rp 259.000,/collections/women/products/blue-striped-taplin
Black Waves Tamina,Rp 329.000,/collections/women/products/black-waves-tamina
Cream Heuvel,Rp 399.000,/collections/women/products/cream-heuvel
Cream Bertram,Rp 349.000,/collections/women/products/cream-bertram
Navy Araceli,Rp 329.000,/collections/women/products/navy-araceli-copy
Navy Jolande,Rp 399.000,/collections/women/products/navy-jolande
Multicolor Blume Ellida,Rp 429.000,/collections/women/products/multicolor-blume-elida
Off-white Gunilla,Rp 369.000,/collections/women/products/off-white-gunilla
Off-white Karila,Rp 349.000,/collections/women/products/off-white-karila
Off-white Ronja,Rp 349.000,/collections/women/products/off-white-ronja
Multicolor Blume Rosel,Rp 349.000,/collections/women/products/multicolor-blume-rosel
Multicolor Blume Devon,Rp 349.000,/collections/women/products/multicolor-blume-devon
Off-white Petrica,Rp 329.000,/collections/women/products/off-white-petrica
Navy Stina,Rp 349.000,/collections/women/products/navy-stina
Multicolor Blume Dagrun,Rp 379.000,/collections/women/products/multicolor-blume-dagrun
Navy Ilaria,Rp 299.000,/collections/women/products/navy-ilaria
Navy Veyl,Rp 349.000,/collections/women/products/navy-veyl
Off-white Byrne,Rp 329.000,/collections/women/products/off-white-byrne
Off-white Kerone,Rp 279.000,/collections/women/products/off-white-kerone
Navy Striped Birna,Rp 279.000,/collections/women/products/navy-striped-birna
Multicolor Blume Birman,Rp 249.000,/collections/women/products/multicolor-blume-birman
Multicolor Blume Gunvor,Rp 219.000,/collections/women/products/multicolor-blume-gunvor
Navy Striped Malea,Rp 299.000,/collections/women/products/navy-striped-malea
Off-white Jorun,Rp 329.000,/collections/women/products/off-white-jorun
Black Brinda,Rp 279.000,/collections/women/products/black-brinda
Navy Embroidered Fonsi,Rp 349.000,/collections/women/products/navy-embroidered-fonsi-copy
Off-white Jardin Marian,Rp 369.000,/collections/women/products/off-white-jardin-marian-copy
Off-white Embroidered Agneta,Rp 279.000,/collections/women/products/off-white-embroidered-agneta-copy
Navy Chison,Rp 399.000,/collections/women/products/navy-chison-copy
Pixel Koshi,Rp 249.000,/collections/women/products/pixel-koshi
Navy Karan,Rp 449.000,/collections/women/products/navy-karan-copy
Janitra Merah Jambu,Rp 349.000,/collections/women/products/janitra-merah-jambu-copy
Aditi Krem,Rp 359.000,/collections/women/products/aditi-krem-copy
Amala,Rp 329.000,/collections/women/products/amala-copy
Aruna,Rp 329.000,/collections/women/products/aruna-copy
Janitra Putih,Rp 369.000,/collections/women/products/janitra-putih-pre-order-14-oct-copy
Navy Embroidered Alize,Rp 429.000,/collections/women/products/navy-embroidered-alize
Light Blue Milstein,Rp 399.000,/collections/women/products/light-blue-milstein
Black Kajsa,Rp 349.000,/collections/women/products/black-kajsa
Black Tweed Novello,Rp 329.000,/collections/women/products/black-tweed-novello
Grey Tweed Morela,Rp 299.000,/collections/women/products/grey-tweed-morela
Off-white Embroidered Petras,Rp 349.000,/collections/women/products/off-white-embroidered-petras
Navy Embroidered Fonsi,Rp 349.000,/collections/women/products/navy-embroidered-fonsi
Light Blue Gingham Maelys,Rp 349.000,/collections/women/products/light-blue-gingham-maelys
Navy Embroidered Gusta,Rp 359.000,/collections/women/products/navy-embroidered-gusta
Cream Tencel Adora,Rp 379.000,/collections/women/products/cream-tencel-adora
Off-white Embroidered Jensa,Rp 299.000,/collections/women/products/off-white-embroidered-jensa
Off-white Embroidered Faya,Rp 279.000,/collections/women/products/off-white-embroidered-faya
Off-white Embroidered Galia,Rp 299.000,/collections/women/products/off-white-embroidered-galia
Navy Embroidered Arona,Rp 329.000,/collections/women/products/navy-embroidered-arona
Off-white Embroidered Agneta,Rp 279.000,/collections/women/products/off-white-embroidered-agneta
Cream Tencel Blanca,Rp 329.000,/collections/women/products/cream-tencel-blanca
Off-white Embroidered Birman,Rp 299.000,/collections/women/products/off-white-embroidered-birman
Off-white Embroidered Pattia,Rp 349.000,/collections/women/products/off-white-embroidered-pattia
Cream Tencel Abriella,Rp 279.000,/collections/women/products/cream-tencel-abriella
Lalika Biru Laut,Rp 259.000,/collections/women/products/lalika-biru-laut
Black Vargas,Rp 269.000,/collections/women/products/black-vargas
Lukita Krem,Rp 349.000,/collections/women/products/lukita-krem
Janitra Sekarlana,Rp 349.000,/collections/women/products/janitra-merah-jambu
Janitra Krem,Rp 349.000,/collections/women/products/janitra-krem
Lalika Merah Jambu,Rp 259.000,/collections/women/products/lalika-merah-jambu
Nawa,Rp 249.000,/collections/women/products/nawa
Off-white Vargas,Rp 269.000,/collections/women/products/off-white-vargas
Tanaya Putih Tulang,Rp 249.000,/collections/women/products/tanaya-putih-tulang
Betari,Rp 279.000,/collections/women/products/betari
Sarayu,Rp 349.000,/collections/women/products/sarayu
Manika Biru Laut,Rp 379.000,/collections/women/products/manika-biru-laut
Sita Merah Jambu,Rp 359.000,/collections/women/products/sita-merah-jambu
Devon Sekarlana,Rp 349.000,/collections/women/products/devon-sekarlana
Lukita Merah Jambu,Rp 349.000,/collections/women/products/lukita-merah-jambu
Keinan,Rp 349.000,/collections/women/products/keinan
Sekar Merah Jambu,Rp 349.000,/collections/women/products/sekar-merah-jambu
Jenar Biru Laut,Rp 329.000,/collections/women/products/jenar-biru-laut
Off-white Striped Babette,Rp 379.000,/collections/women/products/off-white-striped-babette
Navy Blue Striped Babette,Rp 379.000,/collections/women/products/navy-blue-striped-babette
Off-white Monday Shirt,Rp 349.000,/collections/women/products/off-white-monday-shirt
Navy Monday Shirt,Rp 349.000,/collections/women/products/navy-monday-shirt
Navy Gemmell D,Rp 369.000,/collections/women/products/navy-gemmell-d
Navy Gemmell C,Rp 369.000,/collections/women/products/navy-gemmell-c
Light Blue Monday Shirt,Rp 349.000,/collections/women/products/light-blue-monday-shirt
Navy Major,Rp 349.000,/collections/women/products/navy-major
Off-white Major,Rp 349.000,/collections/women/products/off-white-major
Pink Major,Rp 349.000,/collections/women/products/pink-major
Black Fawnia,Rp 329.000,/collections/women/products/black-fawnia
Black Slim Fit Tee,Rp 199.000,/collections/women/products/black-slim-fit-tee
Off-white Slim Fit Tee,Rp 199.000,/collections/women/products/off-white-slim-fit-tee
Light Blue Utility Shirt,Rp 279.000,/collections/women/products/light-blue-utility-shirt
Pink Utility Shirt,Rp 279.000,/collections/women/products/pink-utility-shirt
Off-white Fawnia,Rp 329.000,/collections/women/products/off-white-fawnia
Off-white Everyday Shirt,Rp 259.000,/collections/women/products/off-white-everyday-shirt
Navy Everyday Shirt,Rp 259.000,/collections/women/products/navy-everyday-shirt
Sunday Shirt,Rp 259.000,/collections/women/products/sunday-shirt
Black Relax Shirt,Rp 259.000,/collections/women/products/black-relax-shirt
Off-white Relax Shirt,Rp 259.000,/collections/women/products/off-white-relax-shirt
Black Weekend Blouse,Rp 229.000,/collections/women/products/black-weekend-blouse
Off-white Weekend Blouse,Rp 229.000,/collections/women/products/off-white-weekend-blouse
Black Regular Fit,Rp 199.000,/collections/women/products/black-regular-fit
Off-white Regular Fit,Rp 199.000,/collections/women/products/off-white-regular-fit
Pink Regular Fit Tee,Rp 199.000,/collections/women/products/pink-regular-fit-tee
Black Oversized Tee,Rp 199.000,/collections/women/products/black-oversized-tee
Off-white Oversized Tee,Rp 199.000,/collections/women/products/off-white-oversized-tee
Pink Oversized Tee,Rp 199.000,/collections/women/products/pink-oversized-tee
Black Baby Tee,Rp 169.000,/collections/women/products/black-baby-tee
Off-white Baby Tee,Rp 169.000,/collections/women/products/off-white-baby-tee
Pink Baby Tee,Rp 169.000,/collections/women/products/pink-baby-tee
Off-white Office Shirt,Rp 249.000,/collections/women/products/off-white-office-shirt
Navy Gemmell B,Rp 369.000,/collections/women/products/navy-gemmell-b
Light Denim Chevette,Rp 369.000,/collections/women/products/light-denim-chevette-9
Off-white Jardin Wolmar,Rp 349.000,/collections/women/products/off-white-jardin-wolmar-1
Pink Embroidery Omer,Rp 349.000,/collections/women/products/pink-embroidery-omer
LIght Pink Embroidery Delpozo,Rp 349.000,/collections/women/products/light-pink-embroidery-delpozo
Blue Striped Maelys,Rp 349.000,/collections/women/products/blue-striped-maelys
Maroon Rose Drury,Rp 279.000,/collections/women/products/maroon-rose-drury
Navy Nania,Rp 269.000,/collections/women/products/navy-nania
Light Blue Nania,Rp 269.000,/collections/women/products/light-blue-nania
Pink Epifano,Rp 299.000,/collections/women/products/pink-epifano
Off-white Epifano,Rp 299.000,/collections/women/products/off-white-epifano
Off-white Kelham,Rp 349.000,/collections/women/products/off-white-kelham
Light Blue Kelham,Rp 349.000,/collections/women/products/light-blue-kelham
Light Blue Chassol,Rp 349.000,/collections/women/products/light-blue-chassol
Cream Chassol,Rp 349.000,/collections/women/products/cream-chassol
Pink Wunder,Rp 309.000,/collections/women/products/pink-wunder
Cream Wunder,Rp 309.000,/collections/women/products/cream-wunder
Navy Josiah,Rp 399.000,/collections/women/products/navy-josiah
Cream Bramsen,Rp 299.000,/collections/women/products/cream-bramsen
Light Blue Bramsen,Rp 299.000,/collections/women/products/light-blue-bramsen
Navy Venosta,Rp 369.000,/collections/women/products/navy-venosta
Cream Zummo,Rp 199.000,/collections/women/products/cream-zummo
Off-white Girma,Rp 269.000,/collections/women/products/off-white-girma
Navy Mergia,Rp 349.000,/collections/women/products/navy-mergia
Off-white Tidiane,Rp 279.000,/collections/women/products/off-white-tidiane
Cream Eola,Rp 269.000,/collections/women/products/cream-eola
Pink Naran,Rp 369.000,/collections/women/products/pink-naran
Light Blue Ruscha,Rp 249.000,/collections/women/products/light-blue-ruscha
Off-white Cline,Rp 349.000,/collections/women/products/off-white-cline
Pink Tidiane,Rp 279.000,/collections/women/products/pink-tidiane
Off-white Rocio,Rp 329.000,/collections/women/products/off-white-rocio
Off-white Lace Blanca,Rp 329.000,/collections/women/products/off-white-lace-blanca
Off-white Adora,Rp 349.000,/collections/women/products/off-white-adora
Striped Adora,Rp 349.000,/collections/women/products/striped-adora
Off-white Embroidery Darnell,Rp 349.000,/collections/women/products/off-white-embroidery-darnell
Off-white Embroidery Mosla,Rp 379.000,/collections/women/products/off-white-embroidery-mosla
Striped Blanca,Rp 249.000,/collections/women/products/striped-blanca
Off-white Araceli,Rp 329.000,/collections/women/products/off-white-araceli
Striped Naran,Rp 369.000,/collections/women/products/striped-naran
Off-white Tamina,Rp 329.000,/collections/women/products/off-white-tamina
Cream Mergia,Rp 349.000,/collections/women/products/cream-mergia
Off-white Embroidery Cardin,Rp 329.000,/collections/women/products/off-white-embroidery-cardin
Black Stripe Aether,Rp 269.000,/collections/women/products/black-stripe-aether
Blue Striped Lombardi,Rp 349.000,/collections/women/products/blue-striped-lombardi
